Question,Question_Subscale_or_Scale_Value,Avg_Aggregate_Description_Text_Response,Avg_Self_Comparison_Text_Response,Avg_Supervisor_Comparison_Text_Response,Avg_Subordinate_Comparison_Text_Response,Avg_Peer_Comparison_Text_Response,Coaching_Response
Indiv_Con,3SD_Negative,Relative to the general population -3 SD Indiv_Con.,Relative to the self-rating -3 SD Indiv_Con.,Relative to the supervisor-rating -3 SD Indiv_Con.,Relative to the subordinate ratings -3 SD Indiv_Con.,Relative to the peer ratings -3 SD Indiv_Con.,Coaching   -3 SD Indiv_Con.
Indiv_Con,2SD_Negative,Relative to the general population -2 SD Indiv_Con.,Relative to the self-rating -2 SD Indiv_Con.,Relative to the supervisor-rating -2 SD Indiv_Con.,Relative to the subordinate ratings -2 SD Indiv_Con.,Relative to the peer ratings -2 SD Indiv_Con.,Coaching   -2 SD Indiv_Con.
Indiv_Con,1SD_Negative,Relative to the general population -1 SD Indiv_Con.,Relative to the self-rating -1 SD Indiv_Con.,Relative to the supervisor-rating -1 SD Indiv_Con.,Relative to the subordinate ratings -1 SD Indiv_Con.,Relative to the peer ratings -1 SD Indiv_Con.,Coaching   -1 SD Indiv_Con.
Indiv_Con,Average,Relative to the general population Average Indiv_Con.,Relative to the self-rating Average Indiv_Con.,Relative to the supervisor-rating Average Indiv_Con.,Relative to the subordinate ratings Average Indiv_Con.,Relative to the peer ratings Average Indiv_Con.,Coaching  Average Indiv_Con.
Indiv_Con,1SD_Positive,Relative to the general population +1 SD Indiv_Con.,Relative to the self-rating +1 SD Indiv_Con.,Relative to the supervisor-rating +1 SD Indiv_Con.,Relative to the subordinate ratings +1 SD Indiv_Con.,Relative to the peer ratings +1 SD Indiv_Con.,Coaching   +1 SD Indiv_Con.
Indiv_Con,2SD_Positive,Relative to the general population +2 SD Indiv_Con.,Relative to the self-rating +2 SD Indiv_Con.,Relative to the supervisor-rating +2 SD Indiv_Con.,Relative to the subordinate ratings +2 SD Indiv_Con.,Relative to the peer ratings +2 SD Indiv_Con.,Coaching   +2 SD Indiv_Con.
Indiv_Con,3SD_Positive,Relative to the general population +3 SD Indiv_Con.,Relative to the self-rating +3 SD Indiv_Con.,Relative to the supervisor-rating +3 SD Indiv_Con.,Relative to the subordinate ratings +3 SD Indiv_Con.,Relative to the peer ratings +3 SD Indiv_Con.,Coaching   +3 SD Indiv_Con.
Mot,3SD_Negative,Relative to the general population -3 SD Mot.,Relative to the self-rating -3 SD Mot.,Relative to the supervisor-rating -3 SD Mot.,Relative to the subordinate ratings -3 SD Mot.,Relative to the peer ratings -3 SD Mot.,Coaching   -3 SD Mot.
Mot,2SD_Negative,Relative to the general population -2 SD Mot.,Relative to the self-rating -2 SD Mot.,Relative to the supervisor-rating -2 SD Mot.,Relative to the subordinate ratings -2 SD Mot.,Relative to the peer ratings -2 SD Mot.,Coaching   -2 SD Mot.
Mot,1SD_Negative,Relative to the general population -1 SD Mot.,Relative to the self-rating -1 SD Mot.,Relative to the supervisor-rating -1 SD Mot.,Relative to the subordinate ratings -1 SD Mot.,Relative to the peer ratings -1 SD Mot.,Coaching   -1 SD Mot.
Mot,Average,Relative to the general population Average Mot.,Relative to the self-rating Average Mot.,Relative to the supervisor-rating Average Mot.,Relative to the subordinate ratings Average Mot.,Relative to the peer ratings Average Mot.,Coaching  Average Mot.
Mot,1SD_Positive,Relative to the general population +1 SD Mot.,Relative to the self-rating +1 SD Mot.,Relative to the supervisor-rating +1 SD Mot.,Relative to the subordinate ratings +1 SD Mot.,Relative to the peer ratings +1 SD Mot.,Coaching   +1 SD Mot.
Mot,2SD_Positive,Relative to the general population +2 SD Mot.,Relative to the self-rating +2 SD Mot.,Relative to the supervisor-rating +2 SD Mot.,Relative to the subordinate ratings +2 SD Mot.,Relative to the peer ratings +2 SD Mot.,Coaching   +2 SD Mot.
Mot,3SD_Positive,Relative to the general population +3 SD Mot.,Relative to the self-rating +3 SD Mot.,Relative to the supervisor-rating +3 SD Mot.,Relative to the subordinate ratings +3 SD Mot.,Relative to the peer ratings +3 SD Mot.,Coaching   +3 SD Mot.
Symp_Neg_Lead,3SD_Negative,Relative to the general population -3 SD Symp_Neg_Lead.,Relative to the self-rating -3 SD Symp_Neg_Lead.,Relative to the supervisor-rating -3 SD Symp_Neg_Lead.,Relative to the subordinate ratings -3 SD Symp_Neg_Lead.,Relative to the peer ratings -3 SD Symp_Neg_Lead.,Coaching   -3 SD Symp_Neg_Lead.
Symp_Neg_Lead,2SD_Negative,Relative to the general population -2 SD Symp_Neg_Lead.,Relative to the self-rating -2 SD Symp_Neg_Lead.,Relative to the supervisor-rating -2 SD Symp_Neg_Lead.,Relative to the subordinate ratings -2 SD Symp_Neg_Lead.,Relative to the peer ratings -2 SD Symp_Neg_Lead.,Coaching   -2 SD Symp_Neg_Lead.
Symp_Neg_Lead,1SD_Negative,Relative to the general population -1 SD Symp_Neg_Lead.,Relative to the self-rating -1 SD Symp_Neg_Lead.,Relative to the supervisor-rating -1 SD Symp_Neg_Lead.,Relative to the subordinate ratings -1 SD Symp_Neg_Lead.,Relative to the peer ratings -1 SD Symp_Neg_Lead.,Coaching   -1 SD Symp_Neg_Lead.
Symp_Neg_Lead,Average,Relative to the general population Average Symp_Neg_Lead.,Relative to the self-rating Average Symp_Neg_Lead.,Relative to the supervisor-rating Average Symp_Neg_Lead.,Relative to the subordinate ratings Average Symp_Neg_Lead.,Relative to the peer ratings Average Symp_Neg_Lead.,Coaching  Average Symp_Neg_Lead.
Symp_Neg_Lead,1SD_Positive,Relative to the general population +1 SD Symp_Neg_Lead.,Relative to the self-rating +1 SD Symp_Neg_Lead.,Relative to the supervisor-rating +1 SD Symp_Neg_Lead.,Relative to the subordinate ratings +1 SD Symp_Neg_Lead.,Relative to the peer ratings +1 SD Symp_Neg_Lead.,Coaching   +1 SD Symp_Neg_Lead.
Symp_Neg_Lead,2SD_Positive,Relative to the general population +2 SD Symp_Neg_Lead.,Relative to the self-rating +2 SD Symp_Neg_Lead.,Relative to the supervisor-rating +2 SD Symp_Neg_Lead.,Relative to the subordinate ratings +2 SD Symp_Neg_Lead.,Relative to the peer ratings +2 SD Symp_Neg_Lead.,Coaching   +2 SD Symp_Neg_Lead.
Symp_Neg_Lead,3SD_Positive,Relative to the general population +3 SD Symp_Neg_Lead.,Relative to the self-rating +3 SD Symp_Neg_Lead.,Relative to the supervisor-rating +3 SD Symp_Neg_Lead.,Relative to the subordinate ratings +3 SD Symp_Neg_Lead.,Relative to the peer ratings +3 SD Symp_Neg_Lead.,Coaching   +3 SD Symp_Neg_Lead.
Monitoring,3SD_Negative,Relative to the general population -3 SD Monitoring.,Relative to the self-rating -3 SD Monitoring.,Relative to the supervisor-rating -3 SD Monitoring.,Relative to the subordinate ratings -3 SD Monitoring.,Relative to the peer ratings -3 SD Monitoring.,Coaching   -3 SD Monitoring.
Monitoring,2SD_Negative,Relative to the general population -2 SD Monitoring.,Relative to the self-rating -2 SD Monitoring.,Relative to the supervisor-rating -2 SD Monitoring.,Relative to the subordinate ratings -2 SD Monitoring.,Relative to the peer ratings -2 SD Monitoring.,Coaching   -2 SD Monitoring.
Monitoring,1SD_Negative,Relative to the general population -1 SD Monitoring.,Relative to the self-rating -1 SD Monitoring.,Relative to the supervisor-rating -1 SD Monitoring.,Relative to the subordinate ratings -1 SD Monitoring.,Relative to the peer ratings -1 SD Monitoring.,Coaching   -1 SD Monitoring.
Monitoring,Average,Relative to the general population Average Monitoring.,Relative to the self-rating Average Monitoring.,Relative to the supervisor-rating Average Monitoring.,Relative to the subordinate ratings Average Monitoring.,Relative to the peer ratings Average Monitoring.,Coaching  Average Monitoring.
Monitoring,1SD_Positive,Relative to the general population +1 SD Monitoring.,Relative to the self-rating +1 SD Monitoring.,Relative to the supervisor-rating +1 SD Monitoring.,Relative to the subordinate ratings +1 SD Monitoring.,Relative to the peer ratings +1 SD Monitoring.,Coaching   +1 SD Monitoring.
Monitoring,2SD_Positive,Relative to the general population +2 SD Monitoring.,Relative to the self-rating +2 SD Monitoring.,Relative to the supervisor-rating +2 SD Monitoring.,Relative to the subordinate ratings +2 SD Monitoring.,Relative to the peer ratings +2 SD Monitoring.,Coaching   +2 SD Monitoring.
Monitoring,3SD_Positive,Relative to the general population +3 SD Monitoring.,Relative to the self-rating +3 SD Monitoring.,Relative to the supervisor-rating +3 SD Monitoring.,Relative to the subordinate ratings +3 SD Monitoring.,Relative to the peer ratings +3 SD Monitoring.,Coaching   +3 SD Monitoring.
Reward_reliance,3SD_Negative,Relative to the general population -3 SD Reward_reliance.,Relative to the self-rating -3 SD Reward_reliance.,Relative to the supervisor-rating -3 SD Reward_reliance.,Relative to the subordinate ratings -3 SD Reward_reliance.,Relative to the peer ratings -3 SD Reward_reliance.,Coaching   -3 SD Reward_reliance.
Reward_reliance,2SD_Negative,Relative to the general population -2 SD Reward_reliance.,Relative to the self-rating -2 SD Reward_reliance.,Relative to the supervisor-rating -2 SD Reward_reliance.,Relative to the subordinate ratings -2 SD Reward_reliance.,Relative to the peer ratings -2 SD Reward_reliance.,Coaching   -2 SD Reward_reliance.
Reward_reliance,1SD_Negative,Relative to the general population -1 SD Reward_reliance.,Relative to the self-rating -1 SD Reward_reliance.,Relative to the supervisor-rating -1 SD Reward_reliance.,Relative to the subordinate ratings -1 SD Reward_reliance.,Relative to the peer ratings -1 SD Reward_reliance.,Coaching   -1 SD Reward_reliance.
Reward_reliance,Average,Relative to the general population Average Reward_reliance.,Relative to the self-rating Average Reward_reliance.,Relative to the supervisor-rating Average Reward_reliance.,Relative to the subordinate ratings Average Reward_reliance.,Relative to the peer ratings Average Reward_reliance.,Coaching  Average Reward_reliance.
Reward_reliance,1SD_Positive,Relative to the general population +1 SD Reward_reliance.,Relative to the self-rating +1 SD Reward_reliance.,Relative to the supervisor-rating +1 SD Reward_reliance.,Relative to the subordinate ratings +1 SD Reward_reliance.,Relative to the peer ratings +1 SD Reward_reliance.,Coaching   +1 SD Reward_reliance.
Reward_reliance,2SD_Positive,Relative to the general population +2 SD Reward_reliance.,Relative to the self-rating +2 SD Reward_reliance.,Relative to the supervisor-rating +2 SD Reward_reliance.,Relative to the subordinate ratings +2 SD Reward_reliance.,Relative to the peer ratings +2 SD Reward_reliance.,Coaching   +2 SD Reward_reliance.
Reward_reliance,3SD_Positive,Relative to the general population +3 SD Reward_reliance.,Relative to the self-rating +3 SD Reward_reliance.,Relative to the supervisor-rating +3 SD Reward_reliance.,Relative to the subordinate ratings +3 SD Reward_reliance.,Relative to the peer ratings +3 SD Reward_reliance.,Coaching   +3 SD Reward_reliance.
Punishment_Or,3SD_Negative,Relative to the general population -3 SD Punishment_Or.,Relative to the self-rating -3 SD Punishment_Or.,Relative to the supervisor-rating -3 SD Punishment_Or.,Relative to the subordinate ratings -3 SD Punishment_Or.,Relative to the peer ratings -3 SD Punishment_Or.,Coaching   -3 SD Punishment_Or.
Punishment_Or,2SD_Negative,Relative to the general population -2 SD Punishment_Or.,Relative to the self-rating -2 SD Punishment_Or.,Relative to the supervisor-rating -2 SD Punishment_Or.,Relative to the subordinate ratings -2 SD Punishment_Or.,Relative to the peer ratings -2 SD Punishment_Or.,Coaching   -2 SD Punishment_Or.
Punishment_Or,1SD_Negative,Relative to the general population -1 SD Punishment_Or.,Relative to the self-rating -1 SD Punishment_Or.,Relative to the supervisor-rating -1 SD Punishment_Or.,Relative to the subordinate ratings -1 SD Punishment_Or.,Relative to the peer ratings -1 SD Punishment_Or.,Coaching   -1 SD Punishment_Or.
Punishment_Or,Average,Relative to the general population Average Punishment_Or.,Relative to the self-rating Average Punishment_Or.,Relative to the supervisor-rating Average Punishment_Or.,Relative to the subordinate ratings Average Punishment_Or.,Relative to the peer ratings Average Punishment_Or.,Coaching  Average Punishment_Or.
Punishment_Or,1SD_Positive,Relative to the general population +1 SD Punishment_Or.,Relative to the self-rating +1 SD Punishment_Or.,Relative to the supervisor-rating +1 SD Punishment_Or.,Relative to the subordinate ratings +1 SD Punishment_Or.,Relative to the peer ratings +1 SD Punishment_Or.,Coaching   +1 SD Punishment_Or.
Punishment_Or,2SD_Positive,Relative to the general population +2 SD Punishment_Or.,Relative to the self-rating +2 SD Punishment_Or.,Relative to the supervisor-rating +2 SD Punishment_Or.,Relative to the subordinate ratings +2 SD Punishment_Or.,Relative to the peer ratings +2 SD Punishment_Or.,Coaching   +2 SD Punishment_Or.
Punishment_Or,3SD_Positive,Relative to the general population +3 SD Punishment_Or.,Relative to the self-rating +3 SD Punishment_Or.,Relative to the supervisor-rating +3 SD Punishment_Or.,Relative to the subordinate ratings +3 SD Punishment_Or.,Relative to the peer ratings +3 SD Punishment_Or.,Coaching   +3 SD Punishment_Or.
Only_Pres_for_Probs,3SD_Negative,Relative to the general population -3 SD Only_Pres_for_Probs.,Relative to the self-rating -3 SD Only_Pres_for_Probs.,Relative to the supervisor-rating -3 SD Only_Pres_for_Probs.,Relative to the subordinate ratings -3 SD Only_Pres_for_Probs.,Relative to the peer ratings -3 SD Only_Pres_for_Probs.,Coaching   -3 SD Only_Pres_for_Probs.
Only_Pres_for_Probs,2SD_Negative,Relative to the general population -2 SD Only_Pres_for_Probs.,Relative to the self-rating -2 SD Only_Pres_for_Probs.,Relative to the supervisor-rating -2 SD Only_Pres_for_Probs.,Relative to the subordinate ratings -2 SD Only_Pres_for_Probs.,Relative to the peer ratings -2 SD Only_Pres_for_Probs.,Coaching   -2 SD Only_Pres_for_Probs.
Only_Pres_for_Probs,1SD_Negative,Relative to the general population -1 SD Only_Pres_for_Probs.,Relative to the self-rating -1 SD Only_Pres_for_Probs.,Relative to the supervisor-rating -1 SD Only_Pres_for_Probs.,Relative to the subordinate ratings -1 SD Only_Pres_for_Probs.,Relative to the peer ratings -1 SD Only_Pres_for_Probs.,Coaching   -1 SD Only_Pres_for_Probs.
Only_Pres_for_Probs,Average,Relative to the general population Average Only_Pres_for_Probs.,Relative to the self-rating Average Only_Pres_for_Probs.,Relative to the supervisor-rating Average Only_Pres_for_Probs.,Relative to the subordinate ratings Average Only_Pres_for_Probs.,Relative to the peer ratings Average Only_Pres_for_Probs.,Coaching  Average Only_Pres_for_Probs.
Only_Pres_for_Probs,1SD_Positive,Relative to the general population +1 SD Only_Pres_for_Probs.,Relative to the self-rating +1 SD Only_Pres_for_Probs.,Relative to the supervisor-rating +1 SD Only_Pres_for_Probs.,Relative to the subordinate ratings +1 SD Only_Pres_for_Probs.,Relative to the peer ratings +1 SD Only_Pres_for_Probs.,Coaching   +1 SD Only_Pres_for_Probs.
Only_Pres_for_Probs,2SD_Positive,Relative to the general population +2 SD Only_Pres_for_Probs.,Relative to the self-rating +2 SD Only_Pres_for_Probs.,Relative to the supervisor-rating +2 SD Only_Pres_for_Probs.,Relative to the subordinate ratings +2 SD Only_Pres_for_Probs.,Relative to the peer ratings +2 SD Only_Pres_for_Probs.,Coaching   +2 SD Only_Pres_for_Probs.
Only_Pres_for_Probs,3SD_Positive,Relative to the general population +3 SD Only_Pres_for_Probs.,Relative to the self-rating +3 SD Only_Pres_for_Probs.,Relative to the supervisor-rating +3 SD Only_Pres_for_Probs.,Relative to the subordinate ratings +3 SD Only_Pres_for_Probs.,Relative to the peer ratings +3 SD Only_Pres_for_Probs.,Coaching   +3 SD Only_Pres_for_Probs.
Rules_Lawyer,3SD_Negative,Relative to the general population -3 SD Rules_Lawyer.,Relative to the self-rating -3 SD Rules_Lawyer.,Relative to the supervisor-rating -3 SD Rules_Lawyer.,Relative to the subordinate ratings -3 SD Rules_Lawyer.,Relative to the peer ratings -3 SD Rules_Lawyer.,Coaching   -3 SD Rules_Lawyer.
Rules_Lawyer,2SD_Negative,Relative to the general population -2 SD Rules_Lawyer.,Relative to the self-rating -2 SD Rules_Lawyer.,Relative to the supervisor-rating -2 SD Rules_Lawyer.,Relative to the subordinate ratings -2 SD Rules_Lawyer.,Relative to the peer ratings -2 SD Rules_Lawyer.,Coaching   -2 SD Rules_Lawyer.
Rules_Lawyer,1SD_Negative,Relative to the general population -1 SD Rules_Lawyer.,Relative to the self-rating -1 SD Rules_Lawyer.,Relative to the supervisor-rating -1 SD Rules_Lawyer.,Relative to the subordinate ratings -1 SD Rules_Lawyer.,Relative to the peer ratings -1 SD Rules_Lawyer.,Coaching   -1 SD Rules_Lawyer.
Rules_Lawyer,Average,Relative to the general population Average Rules_Lawyer.,Relative to the self-rating Average Rules_Lawyer.,Relative to the supervisor-rating Average Rules_Lawyer.,Relative to the subordinate ratings Average Rules_Lawyer.,Relative to the peer ratings Average Rules_Lawyer.,Coaching  Average Rules_Lawyer.
Rules_Lawyer,1SD_Positive,Relative to the general population +1 SD Rules_Lawyer.,Relative to the self-rating +1 SD Rules_Lawyer.,Relative to the supervisor-rating +1 SD Rules_Lawyer.,Relative to the subordinate ratings +1 SD Rules_Lawyer.,Relative to the peer ratings +1 SD Rules_Lawyer.,Coaching   +1 SD Rules_Lawyer.
Rules_Lawyer,2SD_Positive,Relative to the general population +2 SD Rules_Lawyer.,Relative to the self-rating +2 SD Rules_Lawyer.,Relative to the supervisor-rating +2 SD Rules_Lawyer.,Relative to the subordinate ratings +2 SD Rules_Lawyer.,Relative to the peer ratings +2 SD Rules_Lawyer.,Coaching   +2 SD Rules_Lawyer.
Rules_Lawyer,3SD_Positive,Relative to the general population +3 SD Rules_Lawyer.,Relative to the self-rating +3 SD Rules_Lawyer.,Relative to the supervisor-rating +3 SD Rules_Lawyer.,Relative to the subordinate ratings +3 SD Rules_Lawyer.,Relative to the peer ratings +3 SD Rules_Lawyer.,Coaching   +3 SD Rules_Lawyer.
Pos_Leadership,3SD_Negative,Relative to the general population -3 SD Pos_Leadership.,Relative to the self-rating -3 SD Pos_Leadership.,Relative to the supervisor-rating -3 SD Pos_Leadership.,Relative to the subordinate ratings -3 SD Pos_Leadership.,Relative to the peer ratings -3 SD Pos_Leadership.,Coaching   -3 SD Pos_Leadership.
Pos_Leadership,2SD_Negative,Relative to the general population -2 SD Pos_Leadership.,Relative to the self-rating -2 SD Pos_Leadership.,Relative to the supervisor-rating -2 SD Pos_Leadership.,Relative to the subordinate ratings -2 SD Pos_Leadership.,Relative to the peer ratings -2 SD Pos_Leadership.,Coaching   -2 SD Pos_Leadership.
Pos_Leadership,1SD_Negative,Relative to the general population -1 SD Pos_Leadership.,Relative to the self-rating -1 SD Pos_Leadership.,Relative to the supervisor-rating -1 SD Pos_Leadership.,Relative to the subordinate ratings -1 SD Pos_Leadership.,Relative to the peer ratings -1 SD Pos_Leadership.,Coaching   -1 SD Pos_Leadership.
Pos_Leadership,Average,Relative to the general population Average Pos_Leadership.,Relative to the self-rating Average Pos_Leadership.,Relative to the supervisor-rating Average Pos_Leadership.,Relative to the subordinate ratings Average Pos_Leadership.,Relative to the peer ratings Average Pos_Leadership.,Coaching  Average Pos_Leadership.
Pos_Leadership,1SD_Positive,Relative to the general population +1 SD Pos_Leadership.,Relative to the self-rating +1 SD Pos_Leadership.,Relative to the supervisor-rating +1 SD Pos_Leadership.,Relative to the subordinate ratings +1 SD Pos_Leadership.,Relative to the peer ratings +1 SD Pos_Leadership.,Coaching   +1 SD Pos_Leadership.
Pos_Leadership,2SD_Positive,Relative to the general population +2 SD Pos_Leadership.,Relative to the self-rating +2 SD Pos_Leadership.,Relative to the supervisor-rating +2 SD Pos_Leadership.,Relative to the subordinate ratings +2 SD Pos_Leadership.,Relative to the peer ratings +2 SD Pos_Leadership.,Coaching   +2 SD Pos_Leadership.
Pos_Leadership,3SD_Positive,Relative to the general population +3 SD Pos_Leadership.,Relative to the self-rating +3 SD Pos_Leadership.,Relative to the supervisor-rating +3 SD Pos_Leadership.,Relative to the subordinate ratings +3 SD Pos_Leadership.,Relative to the peer ratings +3 SD Pos_Leadership.,Coaching   +3 SD Pos_Leadership.
Neg_Management,3SD_Negative,Relative to the general population -3 SD Neg_Management.,Relative to the self-rating -3 SD Neg_Management.,Relative to the supervisor-rating -3 SD Neg_Management.,Relative to the subordinate ratings -3 SD Neg_Management.,Relative to the peer ratings -3 SD Neg_Management.,Coaching   -3 SD Neg_Management.
Neg_Management,2SD_Negative,Relative to the general population -2 SD Neg_Management.,Relative to the self-rating -2 SD Neg_Management.,Relative to the supervisor-rating -2 SD Neg_Management.,Relative to the subordinate ratings -2 SD Neg_Management.,Relative to the peer ratings -2 SD Neg_Management.,Coaching   -2 SD Neg_Management.
Neg_Management,1SD_Negative,Relative to the general population -1 SD Neg_Management.,Relative to the self-rating -1 SD Neg_Management.,Relative to the supervisor-rating -1 SD Neg_Management.,Relative to the subordinate ratings -1 SD Neg_Management.,Relative to the peer ratings -1 SD Neg_Management.,Coaching   -1 SD Neg_Management.
Neg_Management,Average,Relative to the general population Average Neg_Management.,Relative to the self-rating Average Neg_Management.,Relative to the supervisor-rating Average Neg_Management.,Relative to the subordinate ratings Average Neg_Management.,Relative to the peer ratings Average Neg_Management.,Coaching  Average Neg_Management.
Neg_Management,1SD_Positive,Relative to the general population +1 SD Neg_Management.,Relative to the self-rating +1 SD Neg_Management.,Relative to the supervisor-rating +1 SD Neg_Management.,Relative to the subordinate ratings +1 SD Neg_Management.,Relative to the peer ratings +1 SD Neg_Management.,Coaching   +1 SD Neg_Management.
Neg_Management,2SD_Positive,Relative to the general population +2 SD Neg_Management.,Relative to the self-rating +2 SD Neg_Management.,Relative to the supervisor-rating +2 SD Neg_Management.,Relative to the subordinate ratings +2 SD Neg_Management.,Relative to the peer ratings +2 SD Neg_Management.,Coaching   +2 SD Neg_Management.
Neg_Management,3SD_Positive,Relative to the general population +3 SD Neg_Management.,Relative to the self-rating +3 SD Neg_Management.,Relative to the supervisor-rating +3 SD Neg_Management.,Relative to the subordinate ratings +3 SD Neg_Management.,Relative to the peer ratings +3 SD Neg_Management.,Coaching   +3 SD Neg_Management.
Democratic_Inc_Lead,3SD_Negative,Relative to the general population -3 SD Democratic_Inc_Lead.,Relative to the self-rating -3 SD Democratic_Inc_Lead.,Relative to the supervisor-rating -3 SD Democratic_Inc_Lead.,Relative to the subordinate ratings -3 SD Democratic_Inc_Lead.,Relative to the peer ratings -3 SD Democratic_Inc_Lead.,Coaching   -3 SD Democratic_Inc_Lead.
Democratic_Inc_Lead,2SD_Negative,Relative to the general population -2 SD Democratic_Inc_Lead.,Relative to the self-rating -2 SD Democratic_Inc_Lead.,Relative to the supervisor-rating -2 SD Democratic_Inc_Lead.,Relative to the subordinate ratings -2 SD Democratic_Inc_Lead.,Relative to the peer ratings -2 SD Democratic_Inc_Lead.,Coaching   -2 SD Democratic_Inc_Lead.
Democratic_Inc_Lead,1SD_Negative,Relative to the general population -1 SD Democratic_Inc_Lead.,Relative to the self-rating -1 SD Democratic_Inc_Lead.,Relative to the supervisor-rating -1 SD Democratic_Inc_Lead.,Relative to the subordinate ratings -1 SD Democratic_Inc_Lead.,Relative to the peer ratings -1 SD Democratic_Inc_Lead.,Coaching   -1 SD Democratic_Inc_Lead.
Democratic_Inc_Lead,Average,Relative to the general population Average Democratic_Inc_Lead.,Relative to the self-rating Average Democratic_Inc_Lead.,Relative to the supervisor-rating Average Democratic_Inc_Lead.,Relative to the subordinate ratings Average Democratic_Inc_Lead.,Relative to the peer ratings Average Democratic_Inc_Lead.,Coaching  Average Democratic_Inc_Lead.
